sex,age,mother.education,father.education,parent.status,mother.job,father.job,guardian,travel.time.to.school,study.time,failures,internet.at.home,has.romantic.partner,family.relations,free.time,go.out.for.fun,alcohol.use,health,absences,academic.success
M,19,3,3,living.together,other,services,father,1,2,1,no,yes,4,5,3,2,5,0,12
F,19,1,1,living.together,at_home,other,other,1,2,1,yes,no,4,4,3,3,3,18,10
F,19,1,2,living.together,services,services,other,1,2,1,no,yes,4,2,4,2,3,0,0
F,19,2,1,living.together,at_home,other,other,3,2,0,yes,yes,3,4,1,1,2,20,13
M,19,1,2,living.together,other,services,other,1,2,1,yes,no,4,5,2,2,4,3,11
F,19,3,2,living.together,services,other,other,2,2,1,yes,yes,4,2,2,2,1,22,11
F,19,1,1,living.together,at_home,health,other,1,3,2,yes,yes,4,1,2,1,3,14,13
F,19,2,3,living.together,other,other,other,1,3,1,yes,yes,4,1,2,1,3,40,11
F,18,2,1,living.together,services,other,mother,2,2,0,yes,no,5,3,3,2,1,0,0
F,18,4,3,living.together,other,other,mother,1,3,0,yes,yes,4,3,4,1,5,9,9
F,17,3,4,living.together,at_home,services,father,1,3,0,yes,no,4,3,4,5,5,0,10
F,18,4,4,living.together,teacher,other,mother,1,2,0,yes,no,4,4,4,3,5,2,11
F,17,4,3,living.apart,services,services,mother,1,2,0,yes,yes,5,2,2,2,5,23,13
F,17,2,2,living.together,other,other,mother,1,2,0,no,yes,4,2,2,1,3,12,9
F,17,2,2,living.together,services,services,mother,1,3,0,yes,no,3,3,2,2,3,3,11
F,17,3,1,living.together,services,services,father,1,3,0,yes,no,3,4,3,3,5,1,15
F,17,0,2,living.together,at_home,at_home,father,2,3,0,yes,no,3,3,3,3,2,0,15
M,18,4,4,living.together,other,other,mother,1,3,0,yes,no,4,3,3,2,3,3,11
M,17,3,3,living.together,other,services,mother,1,1,0,yes,no,4,3,5,5,5,3,16
M,17,2,2,living.together,services,other,mother,4,1,0,yes,no,4,4,5,5,4,8,10
F,17,4,4,living.together,teacher,services,mother,1,3,0,yes,no,5,4,4,3,4,7,9
F,17,4,4,living.together,teacher,teacher,mother,2,3,0,yes,yes,4,3,3,2,4,4,14
M,18,2,2,living.together,other,other,mother,1,4,0,yes,no,4,5,5,4,5,2,8
F,17,2,4,living.together,at_home,other,father,1,3,0,yes,yes,4,4,3,1,5,7,14
F,18,3,3,living.together,services,services,mother,1,2,0,yes,no,5,3,4,1,4,0,0
F,18,2,2,living.together,other,other,other,1,2,0,yes,yes,4,3,3,1,2,0,0
F,18,2,2,living.together,at_home,other,mother,2,4,0,no,no,4,4,4,1,4,0,0
F,17,3,4,living.together,services,other,mother,1,3,0,yes,no,4,4,5,3,5,16,15
F,19,3,1,living.apart,services,at_home,other,1,3,1,no,no,5,4,3,2,5,12,13
F,17,3,2,living.together,other,other,mother,1,2,0,yes,yes,4,3,2,3,2,0,0
F,18,3,3,living.together,services,services,mother,1,4,0,yes,no,5,3,3,1,1,7,17
F,17,3,2,living.apart,other,other,mother,1,2,0,yes,no,4,3,3,3,2,4,10
F,19,2,1,living.together,services,services,other,1,3,1,yes,yes,4,3,4,3,3,4,11
M,18,4,4,living.together,teacher,services,father,1,2,1,yes,no,4,3,3,2,2,0,0
M,18,3,4,living.together,services,other,mother,1,2,0,yes,yes,4,3,3,3,5,11,15
F,17,2,2,living.apart,at_home,at_home,father,1,2,1,yes,yes,3,3,1,2,4,0,0
F,18,2,3,living.together,at_home,other,mother,1,3,0,yes,no,4,3,3,2,3,4,10
F,18,3,2,living.together,other,services,mother,1,3,0,yes,yes,5,4,3,3,1,7,14
M,18,4,3,living.together,teacher,services,mother,1,3,0,yes,yes,5,3,2,2,4,9,16
M,18,4,3,living.together,teacher,other,mother,1,3,0,yes,yes,5,4,5,3,5,0,9
F,17,4,3,living.together,health,other,mother,1,3,0,yes,yes,4,4,3,3,4,0,15
M,18,3,2,living.together,other,other,mother,2,1,1,yes,no,2,5,5,5,5,10,13
M,19,1,1,living.together,other,services,other,3,2,3,yes,no,5,4,4,3,2,8,8
M,17,3,3,living.together,health,other,mother,2,2,0,yes,no,4,5,4,3,3,2,13
M,18,1,3,living.together,at_home,services,mother,1,1,1,yes,yes,4,3,3,3,3,7,8
M,19,1,1,living.together,other,other,other,3,1,1,yes,no,4,4,4,3,5,4,8
M,17,4,3,living.together,services,other,mother,2,2,0,yes,yes,4,5,5,3,2,4,11
F,18,3,3,living.together,services,services,father,1,2,0,no,yes,5,3,4,1,5,0,9
F,17,4,4,living.together,teacher,services,father,2,2,0,yes,no,4,3,3,2,5,4,13
F,17,3,2,living.apart,services,other,mother,2,2,0,no,yes,1,2,3,2,5,2,11
M,18,1,1,living.together,other,services,father,2,1,0,yes,yes,3,3,2,2,3,4,10
F,18,1,1,living.together,at_home,services,father,2,3,0,yes,no,5,3,2,1,4,0,16
F,18,1,4,living.apart,at_home,other,mother,3,2,0,no,yes,4,3,4,4,5,0,13
M,18,1,1,living.together,at_home,other,mother,2,2,1,no,no,4,4,3,3,5,2,12
F,18,3,3,living.together,services,services,mother,2,2,0,yes,yes,4,3,2,3,3,0,10
F,17,4,4,living.together,at_home,at_home,mother,1,2,0,yes,yes,2,3,4,1,1,0,15
F,17,1,2,living.together,other,services,father,2,2,0,no,no,3,2,2,2,3,0,12
M,18,1,3,living.together,at_home,other,mother,2,2,0,no,no,3,3,4,4,3,4,10
M,18,4,4,living.together,teacher,services,mother,2,3,0,yes,yes,4,2,2,2,5,0,13
F,17,1,1,living.together,other,services,mother,3,1,1,yes,yes,5,2,1,2,1,0,0
F,18,2,3,living.together,at_home,services,father,2,1,0,yes,yes,5,2,3,2,4,0,10
F,18,4,4,living.together,other,teacher,father,3,2,0,yes,yes,3,2,2,2,5,10,11
F,19,3,2,living.together,services,services,other,2,2,2,no,yes,3,2,2,1,3,4,9
M,18,1,2,living.together,at_home,services,father,3,1,0,yes,yes,4,3,3,3,3,3,12
F,17,2,2,living.together,other,at_home,mother,1,3,0,no,yes,3,4,3,1,3,8,11
F,17,1,2,living.together,other,other,mother,1,1,0,yes,no,3,5,5,3,1,14,5
F,18,4,4,living.together,other,other,mother,2,3,0,yes,no,5,4,4,1,1,0,19
F,18,1,1,living.together,other,other,mother,4,3,0,yes,no,4,3,2,2,4,2,10
F,20,4,2,living.together,health,other,other,2,3,2,yes,yes,5,4,3,1,3,4,15
F,18,4,4,living.together,teacher,services,mother,1,2,0,yes,no,5,4,3,4,2,4,10
F,18,3,3,living.together,other,other,mother,1,2,0,yes,yes,4,1,3,2,1,0,15
F,17,3,1,living.together,at_home,other,mother,1,2,0,yes,no,4,5,4,3,1,17,10
M,18,4,4,living.together,teacher,teacher,father,1,2,0,yes,no,3,2,4,4,2,4,14
M,18,2,1,living.together,other,other,mother,2,1,0,yes,yes,4,4,3,3,5,5,7
M,17,2,3,living.together,other,services,father,2,2,0,yes,no,4,4,3,1,3,2,10
M,19,1,1,living.together,other,services,mother,2,1,1,no,no,4,3,2,3,5,0,0
M,18,4,2,living.together,other,other,father,2,1,1,no,no,5,4,3,3,3,14,5
F,18,2,2,living.together,at_home,other,mother,2,3,0,no,no,5,3,3,3,4,2,10
F,18,4,4,living.together,teacher,at_home,mother,3,1,0,yes,yes,4,4,3,2,5,7,6
F,19,2,3,living.together,services,other,mother,1,3,1,yes,no,5,4,2,2,5,0,0
F,18,3,1,living.together,teacher,services,mother,1,2,0,yes,no,4,3,4,1,1,0,8
F,18,1,1,living.together,other,other,mother,2,2,1,no,no,1,1,1,1,5,0,0
M,20,2,2,living.apart,services,services,other,1,2,2,no,no,5,5,4,5,4,11,9
M,17,3,1,living.together,services,services,mother,2,1,0,yes,no,2,4,5,4,2,3,16
M,21,1,1,living.together,other,other,other,1,1,3,no,no,5,5,3,3,3,3,7
M,18,3,2,living.together,services,other,mother,3,1,0,yes,no,4,4,1,4,5,0,10
M,19,1,1,living.together,other,at_home,father,1,1,0,yes,no,3,2,3,3,5,5,9
